name,player_image,gender,battingstyle,bowlingstyle,country,country_image
Khalid Usman,https://cdn.sportmonks.com/images/cricket/placeholder.png,m,right-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Ibtisam Sheikh,https://cdn.sportmonks.com/images/cricket/players/27/1403.png,m,left-hand-bat,legbreak-googly,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Umaid Asif,https://cdn.sportmonks.com/images/cricket/placeholder.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Sameen Gul,https://cdn.sportmonks.com/images/cricket/players/1/1409.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Saif Badar,https://cdn.sportmonks.com/images/cricket/players/4/1412.png,m,right-hand-bat,legbreak-googly,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Ghulam Mudassar,https://cdn.sportmonks.com/images/cricket/players/7/1415.png,m,right-hand-bat,left-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Sohail Akhtar,https://cdn.sportmonks.com/images/cricket/players/10/1418.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Salman Irshad,https://cdn.sportmonks.com/images/cricket/players/13/1421.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Gulraiz Sadaf,https://cdn.sportmonks.com/images/cricket/players/16/1424.png,m,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Raza Hasan,https://cdn.sportmonks.com/images/cricket/players/19/1427.png,m,right-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Khurram Manzoor,https://cdn.sportmonks.com/images/cricket/players/22/1430.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Danish Aziz,https://cdn.sportmonks.com/images/cricket/placeholder.png,m,left-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Kashif Bhatti,https://cdn.sportmonks.com/images/cricket/players/5/1445.png,m,right-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Tabish Khan,https://cdn.sportmonks.com/images/cricket/players/8/1448.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Hasan Mohsin,https://cdn.sportmonks.com/images/cricket/players/11/1451.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Noor Wali,https://cdn.sportmonks.com/images/cricket/placeholder.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Abrar Ahmad,https://cdn.sportmonks.com/images/cricket/players/17/1457.png,m,left-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Abdullah Shafique,https://cdn.sportmonks.com/images/cricket/players/20/1460.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Abdul Ameer,https://cdn.sportmonks.com/images/cricket/players/23/1463.png,m,left-hand-bat,left-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Saud Shakeel,https://cdn.sportmonks.com/images/cricket/players/0/1472.png,m,left-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Saad Ali,https://cdn.sportmonks.com/images/cricket/players/3/1475.png,m,left-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Azam Khan,https://cdn.sportmonks.com/images/cricket/players/9/1481.png,m,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Faraz Ahmad,https://cdn.sportmonks.com/images/cricket/placeholder.png,m,right-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Inzamam ul Haq,https://cdn.sportmonks.com/images/cricket/players/13/1997.png,m,right-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Danish Kaneria,https://cdn.sportmonks.com/images/cricket/players/16/2000.png,m,right-hand-bat,legbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Mohammad Yousuf,https://cdn.sportmonks.com/images/cricket/players/19/2003.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Iftikhar Anjum,https://cdn.sportmonks.com/images/cricket/players/25/2009.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Yasir Arafat,https://cdn.sportmonks.com/images/cricket/players/28/2012.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Younis Khan,https://cdn.sportmonks.com/images/cricket/players/31/2015.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Shoaib Akhtar,https://cdn.sportmonks.com/images/cricket/players/0/2144.png,m,right-hand-bat,right-arm-fast,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Nasir Jamshed,https://cdn.sportmonks.com/images/cricket/players/21/2357.png,m,left-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Mohammad Talha,https://cdn.sportmonks.com/images/cricket/players/19/2675.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Mohammad Asif,https://cdn.sportmonks.com/images/cricket/players/24/3032.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Salman Butt,https://cdn.sportmonks.com/images/cricket/players/27/3035.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Naved Ul Hasan,https://cdn.sportmonks.com/images/cricket/players/31/3359.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Bismah Maroof,https://cdn.sportmonks.com/images/cricket/players/10/4010.png,f,left-hand-bat,legbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Mohammad Azharullah,https://cdn.sportmonks.com/images/cricket/players/0/4064.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Asad Ali,https://cdn.sportmonks.com/images/cricket/players/19/4211.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Imran Farhat,https://cdn.sportmonks.com/images/cricket/players/22/4214.png,m,left-hand-bat,legbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
